lead time,crpsss,crps,mae_median,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,alpha_plus,alpha
0,0.019561239,0.90876955,0.94246113,0.95179635,-0.8206157,-0.04880944,0.028801883,0.0049185352,0.0028311987,0.41804656,0.38580006
1,-0.10732219,0.886096,0.92101043,0.9375432,-0.79415345,-0.045035258,0.028105795,0.004640429,0.0025915613,0.40739876,0.37979954
2,-0.11147914,0.89693236,0.933705,0.9511226,-0.8031219,-0.0425481,0.027215034,0.0055763796,0.002971883,0.40183067,0.37598354
3,-0.17654358,1.0574055,1.095227,1.1155407,-0.9637935,-0.05046218,0.03673787,0.0077856756,0.004243294,0.42738864,0.3976151
4,-0.09188811,1.0942293,1.1338054,1.1543295,-1.0022296,-0.052273113,0.035348184,0.007761605,0.0043209367,0.43140393,0.40020514
5,0.07979148,1.0771592,1.1183742,1.139117,-0.98681706,-0.05119268,0.034312434,0.007584988,0.004390532,0.42958096,0.39816937
6,0.02480689,1.0946723,1.136114,1.1587296,-1.0038515,-0.053952757,0.037671227,0.006828223,0.003571328,0.44412538,0.41110113
7,-0.14028822,1.1682991,1.2112168,1.2356582,-1.0763336,-0.057801552,0.04063975,0.0076374025,0.00399904,0.44605213,0.41256046
8,-0.10344811,0.97599745,1.0146339,1.0458261,-0.87178785,-0.04443714,0.03143113,0.0059698694,0.0031014963,0.42276824,0.39570484
9,-0.1526822,0.81778616,0.85408753,0.8892831,-0.70665073,-0.03894174,0.026426027,0.0043204986,0.0021881033,0.430161,0.40372542
10,-0.59001213,1.0087881,1.0470849,1.0787935,-0.9016915,-0.047489382,0.03432456,0.0063425633,0.0034340776,0.4361311,0.4084114
11,-0.37862357,1.0436779,1.0829824,1.1157936,-0.93679184,-0.04798831,0.033298288,0.006149571,0.003409517,0.43940684,0.41039878
12,-0.055545703,0.9756389,1.0124849,1.0471146,-0.86534274,-0.046358187,0.03193195,0.005541305,0.0031111347,0.44625717,0.41697428
13,-0.0059389337,0.988723,1.021931,1.0601598,-0.87800854,-0.046069592,0.03327932,0.006138653,0.0033585962,0.44518846,0.4160934
14,-0.031051029,0.96109855,0.99392307,1.0320038,-0.85044545,-0.044955008,0.032763097,0.0060279677,0.0031184836,0.44164675,0.41236582
15,-0.076497875,0.94768375,0.98030496,1.0167812,-0.84161824,-0.04511236,0.030056678,0.0056016967,0.0032855931,0.43198285,0.40264994
16,-0.07372251,0.9116256,0.9396333,0.98246795,-0.7987233,-0.03912407,0.029572852,0.0058753276,0.0034654334,0.4143274,0.39048988
17,-0.15118212,0.9978533,1.0290915,1.0696732,-0.8856666,-0.042805165,0.032168318,0.0070601124,0.004100044,0.41658208,0.3915724
18,-0.0037605201,1.00412,1.0365739,1.0739878,-0.89652044,-0.045038246,0.031848334,0.006984823,0.003948222,0.42493543,0.39685005
19,-0.07613499,1.0953718,1.1317859,1.1659837,-0.9930738,-0.050358105,0.036289364,0.0075927055,0.004038982,0.43931317,0.4082711
20,-0.16324249,1.1796247,1.2196066,1.2498279,-1.078457,-0.055965807,0.04154003,0.008080039,0.0040484546,0.44969532,0.4159098
21,0.056048762,0.99747914,1.0405267,1.0670247,-0.9014558,-0.05088389,0.03166686,0.0049290196,0.0025563925,0.4380934,0.4062604
22,0.10671892,0.83920276,0.87512255,0.9081997,-0.73522407,-0.04153546,0.025785094,0.0039795693,0.002214288,0.4238,0.39612943
23,-0.04273043,0.87600756,0.911111,0.94573367,-0.7699419,-0.042831287,0.028775934,0.004744345,0.0025508942,0.4308503,0.40184766
24,-0.11342546,0.9389802,0.9763647,1.0086257,-0.8369311,-0.047840152,0.030383987,0.004285478,0.0021258916,0.4274381,0.39779902
25,-0.0942305,0.9501897,0.98554647,1.0232819,-0.83870673,-0.043577787,0.030056657,0.005218139,0.0028174287,0.4270056,0.39921194
26,-0.18447873,0.942733,0.9758666,1.019258,-0.8240137,-0.04121171,0.027905189,0.0054065017,0.0034015952,0.43382776,0.4060082
27,-0.38681844,1.1009846,1.1369612,1.1736554,-0.99054736,-0.05057236,0.03665077,0.0068287263,0.0036277473,0.44140545,0.41078627
28,-0.30460438,1.1546057,1.1886318,1.2256839,-1.045858,-0.051431663,0.039334625,0.008169242,0.0040970026,0.45112914,0.42005235
29,-0.1356307,1.1242776,1.159189,1.1987579,-1.0123804,-0.050381675,0.038125187,0.0073473253,0.0040427484,0.44623616,0.41518563
30,0.021742659,0.90185493,0.93206257,0.9753719,-0.78858817,-0.039112482,0.028798006,0.0058987816,0.0033594933,0.428882,0.4023641
31,0.092119545,0.8699946,0.8969822,0.94137377,-0.7523708,-0.038354084,0.026709396,0.0050816745,0.0029038526,0.42522258,0.3997079
32,-0.07129391,1.0496186,1.0800408,1.121785,-0.9359972,-0.044164818,0.032573547,0.007323809,0.004399248,0.42394775,0.39722994
33,-0.05230533,1.1145328,1.1436832,1.1872472,-1.0017104,-0.044644833,0.03494452,0.009321126,0.0054842946,0.4246291,0.39728785
34,-0.062208936,1.0543922,1.0869111,1.1268077,-0.9451685,-0.04623842,0.033732235,0.0074509624,0.0042913584,0.4390411,0.408609
35,-0.012532533,1.0028306,1.0401977,1.0739137,-0.89916927,-0.04751919,0.031613618,0.006027866,0.003481669,0.44789678,0.41544187
36,-0.013577043,1.0571306,1.0945588,1.1279047,-0.9547831,-0.04701414,0.031678837,0.00737726,0.004590492,0.44155347,0.4101373
37,-0.044835642,1.0975049,1.1308202,1.166817,-0.99413174,-0.050091855,0.03533856,0.0076045557,0.004560507,0.4445481,0.4127117
38,0.02819329,1.0651276,1.100198,1.1372155,-0.9573715,-0.049750004,0.034206025,0.006710809,0.0036687579,0.43752626,0.40761307
39,-0.16309752,1.0086634,1.040806,1.0834702,-0.8929034,-0.04223129,0.029919118,0.00643577,0.0039323233,0.42381054,0.39668712
40,-0.43141225,1.0200676,1.0521212,1.0917743,-0.90841085,-0.043580823,0.030003335,0.0067019253,0.004280125,0.4350382,0.40639773
41,-0.43015218,1.0062857,1.038913,1.0759218,-0.89901894,-0.044808496,0.032165058,0.0060784686,0.0035389797,0.42665398,0.3992683
