lead time,crpsss,crps,mae_median,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,alpha_plus,alpha
26,-0.10157192,1.6456323,1.6918247,1.7188545,-1.5486755,-0.07638013,0.0583134,0.012179134,0.00610675,0.49176186,0.45042247
27,-0.06633937,1.7930334,1.8427857,1.8643993,-1.7019243,-0.08061854,0.06326097,0.014774539,0.0074407943,0.49920157,0.45527375
28,-0.19913398,1.6836364,1.7330763,1.7571393,-1.5900596,-0.0794446,0.05960107,0.013930827,0.008317931,0.50406307,0.46053103
29,-0.21570939,1.6029719,1.6449507,1.6779087,-1.5009358,-0.075668104,0.06153115,0.011691279,0.005575645,0.50118065,0.4604862
30,-0.16654667,1.2823756,1.3201616,1.3570744,-1.1725527,-0.06284253,0.051389568,0.009018486,0.004468313,0.48725995,0.45128196
31,-0.21532565,1.3953104,1.4348112,1.4716253,-1.2872517,-0.06544549,0.054198276,0.010164483,0.005075432,0.48278034,0.44709718
32,-0.17652392,1.5736694,1.615035,1.6469184,-1.4728224,-0.06911359,0.05499729,0.013279876,0.007324145,0.4852902,0.4484449
33,-0.054189052,1.5513877,1.593216,1.624149,-1.4506347,-0.070782185,0.054634552,0.013898834,0.008252996,0.49220434,0.4536361
34,-0.011006021,1.6734318,1.7164379,1.7491364,-1.568071,-0.07322879,0.060151782,0.016141402,0.009377836,0.48616344,0.44717267
35,0.053595796,1.5664861,1.6073933,1.6414108,-1.4606175,-0.07364929,0.055168092,0.012862364,0.0075262627,0.4964052,0.45477143
36,0.03804585,1.7058134,1.7465508,1.7789993,-1.6028814,-0.07738985,0.060451776,0.01496403,0.008954821,0.49633163,0.45393413
37,-0.08736028,1.8150082,1.8627853,1.8901008,-1.7173705,-0.082103856,0.06298069,0.015146912,0.008376455,0.49614567,0.45210975
38,-0.0960982,1.6905086,1.7402562,1.764105,-1.593107,-0.07781631,0.05624593,0.013243639,0.0078098257,0.5000261,0.45675737
39,-0.36265936,1.4219217,1.4662822,1.4981365,-1.315499,-0.06815211,0.04698003,0.009845255,0.0053067626,0.48922125,0.4490575
40,-0.45637727,1.3956598,1.439372,1.468335,-1.2949373,-0.067594275,0.049323183,0.008459953,0.004260953,0.4877607,0.44834802
41,-0.5847739,1.7764397,1.8265715,1.8475332,-1.6831119,-0.079954974,0.05923206,0.014822449,0.008222989,0.49662146,0.4535317
