lead time,crps,mae_median,mae_mean,bias,bias_median,relative_bias,Brier95,Brier99,Brier995,alpha_plus,alpha
0,1.1514405,1.2709465,2.352853,0.14306076,-1.2074476,-0.077764794,0.04881596,0.0071799993,0.0027340928,0.6295397,0.87407166
1,1.2349886,1.3651199,2.50209,0.12908848,-1.2998457,-0.07738627,0.04792469,0.0092722075,0.0039153663,0.625983,0.8475119
2,1.3984128,1.5568715,2.684404,-0.0380841,-1.4945207,-0.08402969,0.052098937,0.012491734,0.006559667,0.62345785,0.8436983
3,1.3634064,1.5172067,2.6122942,-0.043253817,-1.4594411,-0.08457034,0.04836634,0.0116891395,0.0062997737,0.62599444,0.86181915
4,1.3002447,1.4295802,2.5542848,0.052181084,-1.3666208,-0.080234736,0.04577207,0.01078774,0.0057456293,0.6249833,0.8798853
5,1.4168798,1.5421046,2.7003818,-0.030209862,-1.4774971,-0.08297812,0.049432,0.010411894,0.0054672807,0.62612504,0.8896114
6,1.7377307,1.8758624,3.0326283,-0.34832716,-1.8069142,-0.09017834,0.059769202,0.016672134,0.009581437,0.62291616,0.89056456
7,1.8011519,1.97948,3.0480046,-0.5082343,-1.9119335,-0.098557726,0.06345329,0.016969677,0.009507365,0.62350845,0.8905734
8,1.6156102,1.7886808,2.8025348,-0.3825455,-1.7175083,-0.09318051,0.057133205,0.013430496,0.007306432,0.6222109,0.8780608
9,1.2754818,1.4308182,2.4546428,-0.032653455,-1.358786,-0.08309954,0.046686187,0.007219575,0.0032472243,0.6224674,0.8684311
10,1.3610854,1.5060385,2.535629,-0.11630673,-1.4379435,-0.081296586,0.049508188,0.009266557,0.004326835,0.6256769,0.8727856
11,1.5441447,1.7272489,2.6998394,-0.36501497,-1.6663048,-0.09188292,0.057217132,0.013037097,0.0063926787,0.62810767,0.8817069
12,1.7184296,1.9307369,2.8535433,-0.5964548,-1.8747987,-0.098656476,0.06531958,0.015374264,0.0073916297,0.628391,0.8907364
13,1.4196938,1.5998085,2.543261,-0.276859,-1.541607,-0.08907746,0.05546712,0.010920293,0.0054202494,0.62586915,0.8975928
14,1.2708669,1.4205302,2.4107347,-0.08074842,-1.3636627,-0.0822644,0.052822053,0.008943027,0.0038483124,0.6268755,0.89293677
15,1.1410258,1.2494565,2.3182182,0.13827707,-1.1870809,-0.075478695,0.04805097,0.0071027144,0.0027457715,0.62593037,0.8763889
16,1.2295592,1.354411,2.465247,0.0997897,-1.2937824,-0.078246884,0.049083054,0.009146226,0.0039214096,0.62543327,0.86003387
17,1.4193839,1.5681711,2.6779428,-0.08418818,-1.5068944,-0.07774706,0.04770377,0.013037865,0.0076937885,0.6244039,0.85382795
18,1.5575942,1.7397695,2.7971895,-0.2820162,-1.6853658,-0.08778947,0.05117582,0.014329571,0.008682439,0.6270426,0.8705567
19,1.6964184,1.877742,2.9139755,-0.4452475,-1.8211646,-0.09192571,0.056697164,0.018070083,0.011034356,0.6274827,0.88592726
20,1.6691532,1.8390539,2.9250946,-0.36379877,-1.7808275,-0.09514045,0.059757825,0.015531949,0.008709881,0.62570775,0.8909037
21,1.6578662,1.8091112,2.9523137,-0.2878382,-1.7461339,-0.09150516,0.05802741,0.014327713,0.008143127,0.62173,0.8832593
22,1.6103476,1.7631434,2.9040813,-0.23999305,-1.6979762,-0.09123345,0.055806402,0.013054048,0.006909008,0.6212967,0.876988
23,1.4779543,1.627938,2.715681,-0.1630245,-1.557006,-0.08698551,0.05144738,0.010712282,0.0057579954,0.6224878,0.8753863
24,1.2365088,1.3642224,2.4211352,0.04412767,-1.2879884,-0.07715928,0.042799447,0.007130604,0.0030120814,0.6258896,0.87641233
25,1.3172848,1.440394,2.472247,-0.06698019,-1.365372,-0.07646393,0.046341937,0.009140484,0.004364468,0.6290361,0.8772429
