lead time,crps,mae_median,mae_mean,bias,bias_median,relative_bias,Brier95,Brier99,Brier995,alpha_plus,alpha
26,1.5358512,1.7051114,2.6789396,-0.35257617,-1.639309,-0.08937474,0.05538727,0.012630879,0.0062661716,0.62733775,0.8755201
27,1.6795688,1.8789818,2.8164341,-0.54201126,-1.8228347,-0.09779812,0.063175574,0.014582694,0.0070517575,0.6267888,0.88017946
28,1.4830484,1.6758091,2.615317,-0.34409437,-1.6188614,-0.09305463,0.056950018,0.011661451,0.0059204325,0.6222756,0.8875812
29,1.3346949,1.5063891,2.4670007,-0.17689793,-1.4501723,-0.08579269,0.054264594,0.009504248,0.004344846,0.6250837,0.8914094
30,1.128072,1.2456139,2.2998905,0.13478875,-1.183146,-0.07345527,0.046614286,0.007285361,0.0030694536,0.6244236,0.8810429
31,1.1718203,1.2896997,2.3990617,0.15384735,-1.2292,-0.07259892,0.045822475,0.008568679,0.0039265975,0.6271736,0.8697366
32,1.408333,1.5599463,2.679055,-0.062639624,-1.4979236,-0.07907448,0.0486251,0.012461542,0.0069009457,0.6252518,0.86006624
33,1.5423527,1.7173233,2.7981393,-0.23401868,-1.657086,-0.08709909,0.052847747,0.014781272,0.008732748,0.6251421,0.86881924
34,1.683821,1.8676962,2.8975735,-0.43379,-1.8075154,-0.09497039,0.05903498,0.01743564,0.010440815,0.6245586,0.88266474
35,1.732016,1.9028528,2.9634128,-0.45416108,-1.8446581,-0.09809264,0.06142026,0.016517874,0.009437555,0.625135,0.8938448
36,1.92065,2.1074376,3.1972554,-0.61093986,-2.048667,-0.10406611,0.06831551,0.018907992,0.011107871,0.6229459,0.8960098
37,1.8142499,2.0092757,3.1162648,-0.48347387,-1.9505117,-0.103479296,0.06470033,0.014751652,0.0077528865,0.62115777,0.8918988
38,1.6510959,1.8455205,2.9043555,-0.3678072,-1.7792444,-0.09771695,0.05912325,0.01206884,0.00622082,0.6242301,0.8931026
39,1.2809178,1.4273713,2.4741876,-0.0120471725,-1.3539038,-0.08040374,0.043959297,0.006996958,0.002766493,0.6255396,0.8835271
40,1.1289036,1.2431799,2.2887776,0.13629922,-1.1682767,-0.06909246,0.037524413,0.006119184,0.0030634592,0.6259047,0.8746941
41,1.3598129,1.5058056,2.499345,-0.15697517,-1.4401006,-0.07953356,0.046632107,0.009918876,0.004887983,0.6239489,0.864376
