lead time,crpsss,crps,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,skil_dis,mae_median_dis,alpha
0,-0.23812683,1.3496013,1.6093475,-0.60343635,0.030243559,0.10628204,0.09117246,0.08905967,1.2209675,1.390629,0.08675463
1,-0.15159766,1.3483632,1.6427813,-0.5557694,0.040710334,0.10677824,0.09435807,0.09239875,1.2298553,1.4113809,0.099120714
2,-0.1515828,1.5101688,1.7982342,-0.85023737,0.019529039,0.10849173,0.09321324,0.09011025,1.4122647,1.6003416,0.10177541
3,-0.05610918,1.3859174,1.6674916,-0.73506635,0.024053661,0.10238122,0.08807733,0.08558544,1.2850932,1.4434257,0.10310066
4,-0.12379782,1.3334024,1.6413091,-0.7033048,0.025707923,0.09983547,0.08478745,0.0822138,1.2582338,1.4117543,0.10994949
5,-0.042907324,1.3485458,1.6598885,-0.7584281,0.019651664,0.09965772,0.08307919,0.08072028,1.2967772,1.4575753,0.111150235
6,0.08685669,1.5339671,1.8617483,-0.9734258,0.016691947,0.102478735,0.08635784,0.08325877,1.4980795,1.6664051,0.1160624
7,-0.009450247,1.7802829,2.139752,-1.1809571,0.013698696,0.10694951,0.08960301,0.08630116,1.7312012,1.9339838,0.12072192
8,0.10150175,1.4528005,1.8239996,-0.7872699,0.03272905,0.102346346,0.08693332,0.08470476,1.4082196,1.5813779,0.13126607
9,-0.18421397,1.3830686,1.8033617,-0.5907162,0.052529354,0.10502935,0.08865147,0.08624088,1.3103602,1.4627751,0.14295462
10,-0.28052282,1.5074283,1.9454917,-0.7169481,0.051742587,0.10877387,0.09028484,0.087031335,1.4454789,1.6009645,0.14329167
11,-0.27818987,1.6024832,2.0259352,-0.8333249,0.042394686,0.10682679,0.08889902,0.08582109,1.5232553,1.693825,0.14178962
12,0.048196238,1.581308,1.9930141,-0.8851735,0.0324869,0.10752223,0.086536124,0.08325701,1.5261277,1.7002063,0.14172721
13,0.013260441,1.3553053,1.7640193,-0.6439448,0.041404087,0.10370696,0.08356517,0.08052311,1.2877635,1.4206544,0.14161213
14,-0.07816929,1.297458,1.7106576,-0.6039338,0.040448833,0.10221075,0.08188726,0.079232916,1.2341932,1.3612006,0.14116825
15,-0.34460753,1.4151504,1.8109574,-0.7398538,0.034499038,0.103209026,0.08201658,0.079035334,1.3376286,1.4693336,0.13836534
16,-0.11744293,1.2813089,1.6555346,-0.62951547,0.033225764,0.10046159,0.080527574,0.07741338,1.205335,1.3207403,0.13557768
17,-0.05418696,1.3889487,1.7835345,-0.7297296,0.038201272,0.1003367,0.081135124,0.07785656,1.3212334,1.4349098,0.13812406
18,-0.003709525,1.4172833,1.776825,-0.8082685,0.02438172,0.09983044,0.08053585,0.07743675,1.3514575,1.4850211,0.13483724
19,0.04007389,1.4886559,1.8637393,-0.8575526,0.025596462,0.10160171,0.08153613,0.078551516,1.4201245,1.5590056,0.13558698
20,0.074812196,1.480654,1.8694805,-0.8480797,0.028961344,0.10109865,0.082160264,0.079176106,1.421269,1.5580945,0.13725238
21,-0.19614117,1.7233893,2.0951898,-1.1155387,0.018103084,0.10429306,0.083896674,0.080148,1.6493852,1.805511,0.13098319
22,-0.09209423,1.6140163,1.9947423,-0.99868786,0.02059451,0.102837235,0.08284772,0.0795861,1.5599695,1.7211246,0.13403034
23,-0.20234518,1.6209092,2.0066917,-1.002827,0.01939616,0.103452034,0.08244505,0.07930866,1.5612986,1.7231784,0.13654006
24,-0.5363387,1.5484629,1.9519428,-0.8893995,0.032032214,0.10437445,0.08540644,0.081840605,1.490613,1.6246623,0.14369039
25,-0.5099251,1.5372984,1.9257247,-0.9019806,0.028935414,0.1018656,0.08373165,0.0805842,1.4747262,1.6077657,0.13880017
26,-0.0960953,1.5951742,2.0024014,-0.95653015,0.025636096,0.10479673,0.08320543,0.079734474,1.538106,1.6886257,0.14037345
27,-0.05100013,1.7375308,2.138342,-1.1074017,0.021154016,0.10723954,0.08427904,0.08008796,1.6782478,1.8400909,0.13838077
28,-0.176384,1.628034,2.0208206,-0.99239326,0.02200648,0.10514657,0.083990246,0.080965705,1.5658265,1.7312179,0.13779725
29,-0.18699779,1.5470842,1.947188,-0.8969084,0.026952714,0.108179405,0.08490052,0.08137572,1.4917945,1.6420934,0.14175278
30,-0.16443945,1.2765212,1.6902765,-0.5429106,0.04750517,0.104498416,0.08396213,0.08119869,1.1994768,1.3132522,0.14694533
31,-0.20480952,1.3709975,1.7811683,-0.6767919,0.04022519,0.1038104,0.08311556,0.08028131,1.2999022,1.4268774,0.14148915
32,-0.14382492,1.5239964,1.9094906,-0.8897134,0.030020682,0.103233375,0.08377122,0.08029094,1.4705846,1.6108594,0.13590407
33,-0.040527675,1.5180161,1.9235526,-0.84640455,0.03397818,0.10320161,0.08360931,0.08031604,1.4509602,1.5897627,0.14312905
34,-0.0031054849,1.6486851,2.0698416,-0.9527473,0.034147575,0.107171535,0.08564869,0.081736006,1.5711075,1.7104822,0.14410031
35,0.053269994,1.5518646,1.9320511,-0.8982535,0.025080571,0.1043687,0.08292585,0.07959255,1.4673159,1.6023971,0.13708961
36,0.042423192,1.6842581,2.071409,-1.0394189,0.021575328,0.10731293,0.08404305,0.08031385,1.6016624,1.7430944,0.13747188
37,-0.07030276,1.769598,2.155398,-1.1450156,0.016337447,0.107844695,0.08512412,0.08119729,1.6979281,1.8588274,0.13611647
38,-0.08721781,1.6522187,2.056127,-0.9693844,0.029610312,0.10628592,0.085671015,0.08237923,1.5842025,1.7383177,0.14308731
39,-0.3889311,1.4034272,1.8152239,-0.68703556,0.041396018,0.10166574,0.08399963,0.08111202,1.3342081,1.4620191,0.14441991
40,-0.48941398,1.3750961,1.7604152,-0.71649164,0.03329734,0.10076458,0.08152109,0.07892948,1.3091915,1.435618,0.13692465
41,-0.58210284,1.7329264,2.1169772,-1.0941988,0.020770393,0.106371805,0.08587584,0.08210825,1.6633915,1.825233,0.13583036
