lead time,crpsss,crps,mae_median,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,crps_dis,alpha_plus,alpha
21,-0.11759715,1.166873,1.1585199,1.5764004,-0.43864062,0.056148577,0.036746502,0.009111298,0.004479153,1.092206,0.8720544,0.8687164
22,0.0049018012,1.1235445,1.1184247,1.5288577,-0.4159701,0.05400742,0.037665978,0.007260414,0.0037000747,1.0526291,0.8758194,0.87305933
23,-0.077320464,1.1292865,1.1472132,1.5182058,-0.46777672,0.044781413,0.039827883,0.007046246,0.003682489,1.0687782,0.8759221,0.87252575
24,-0.13097952,1.0809569,1.0801948,1.4486582,-0.4427063,0.04231559,0.036698468,0.0063956804,0.0033549413,1.0125266,0.87661195,0.873917
25,-0.027225705,0.9233531,0.92430884,1.2902908,-0.31596082,0.04748087,0.0314579,0.0054689697,0.0026651858,0.87555873,0.87838084,0.8773586
26,-0.2942454,1.0795978,1.0746554,1.4649061,-0.43410504,0.048726093,0.036579046,0.0077736205,0.003981805,1.0191287,0.88280106,0.8814945
27,-0.74172455,1.0176039,1.0126576,1.4091005,-0.3591764,0.05286243,0.03418061,0.006343472,0.003306798,0.96364295,0.88238436,0.8813518
28,-0.25237182,0.9320762,0.9241661,1.3296089,-0.2689035,0.05758908,0.0322008,0.0056807552,0.0027350173,0.88492966,0.87827045,0.877255
29,-0.018982021,1.0147388,1.0059958,1.3924652,-0.37487173,0.048697136,0.03656931,0.007854045,0.003569684,0.9581728,0.8814829,0.8792132
30,-0.1213069,1.1426708,1.1569107,1.5106847,-0.5291062,0.035768237,0.04083814,0.0084315585,0.0038959458,1.0882337,0.8822968,0.87756705
31,-0.11346958,1.1913348,1.2003026,1.5670719,-0.55226165,0.03687241,0.040175736,0.0080442475,0.003539377,1.123982,0.8745063,0.86971384
32,-0.04482784,0.9209498,0.93834347,1.2927618,-0.3072093,0.0452997,0.030172233,0.004448642,0.001829303,0.8752848,0.87310475,0.8705724
33,-0.1276641,0.9572941,0.98607445,1.3198123,-0.3644213,0.042634178,0.03281484,0.005783371,0.002539979,0.9208207,0.8781226,0.875111
34,-0.27502987,1.0358387,1.0791478,1.38317,-0.46371707,0.034342855,0.035565704,0.007085036,0.0028406922,1.0023569,0.8726164,0.8683788
35,-0.057937358,1.0518618,1.0727699,1.4019139,-0.46170306,0.036770813,0.03421502,0.0055283974,0.0026936613,1.0024523,0.86857927,0.86459184
36,-0.05540912,1.2305137,1.267769,1.5688924,-0.67368734,0.029482078,0.038799424,0.009666676,0.005418565,1.1840596,0.87142366,0.8670068
37,-0.03814804,1.2676101,1.3050476,1.6192036,-0.70917773,0.025910893,0.040660176,0.009679409,0.005755154,1.2125444,0.8701397,0.865449
38,-0.09962837,1.2174413,1.2281898,1.5875434,-0.60571593,0.036474437,0.04021128,0.009168452,0.0050091324,1.1519098,0.8704126,0.866381
39,-0.12483557,1.1487634,1.1577619,1.5235722,-0.530604,0.04139848,0.039768904,0.0077246525,0.0038395287,1.088438,0.8786175,0.8763071
40,-0.271024,1.1824764,1.1940975,1.5578967,-0.5486461,0.03928963,0.041896198,0.0077599217,0.0038542135,1.1147679,0.8815965,0.87859464
41,-0.40261763,1.1571383,1.158977,1.5472935,-0.49699777,0.04576491,0.03964517,0.007415964,0.0037813336,1.0887417,0.8806825,0.878281
