lead time,crpsss,crps,mae_median,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,crps_dis,alpha_plus,alpha
0,-0.099492095,1.2011843,1.1773527,1.3911718,-0.6627867,0.008189645,0.03957278,0.007905513,0.0035943047,1.0730082,0.8686362,0.86329633
1,0.11573067,0.9944405,0.9885617,1.2181064,-0.44599822,0.02103462,0.030901488,0.005972324,0.0026770239,0.89744896,0.8654483,0.86261266
2,0.018151484,0.8960926,0.9118748,1.1217558,-0.36762595,0.024432257,0.027994854,0.003897556,0.001842468,0.8268774,0.8685562,0.8664361
3,-0.13972783,0.9048601,0.94731206,1.1530821,-0.37740824,0.026030377,0.02906419,0.00473487,0.0019923174,0.85754776,0.8717339,0.86960864
4,-0.3075312,1.0068312,1.0532879,1.2735827,-0.47429568,0.02600716,0.032067064,0.0068606497,0.0031283617,0.9585656,0.8694166,0.86679935
5,-0.09643241,1.0041101,1.0387399,1.2900723,-0.44005713,0.032470603,0.031346396,0.0057190214,0.002690373,0.9485349,0.87039185,0.86860776
6,-0.19016127,1.0610088,1.1188968,1.3659973,-0.47541648,0.031960532,0.035289157,0.005787681,0.0028071476,1.0100814,0.86985457,0.8664943
7,-0.12689914,1.0761932,1.1274416,1.4244149,-0.43363267,0.04259276,0.034937106,0.006353496,0.0030493946,1.0241116,0.85935175,0.85632795
8,-0.031256966,0.93785787,0.969867,1.2898896,-0.302208,0.049468797,0.032155424,0.0054927897,0.0026906682,0.8953923,0.870153,0.8687692
9,-0.09701147,1.1180234,1.1861243,1.4667684,-0.5169299,0.035246924,0.03973392,0.00714156,0.0034631786,1.079376,0.8746471,0.8711636
10,-0.08918856,1.195084,1.2703241,1.5704834,-0.58240885,0.037164558,0.04281855,0.007880852,0.0038085503,1.1620095,0.8758317,0.8725768
11,-0.06380413,1.028233,1.0484588,1.4062271,-0.37171084,0.052373603,0.033471648,0.006872447,0.0036067676,0.98034513,0.87642163,0.8751631
12,-0.21622379,1.0097922,1.0110053,1.3841045,-0.3541328,0.05326954,0.033452597,0.0068246936,0.003294835,0.95571285,0.8757194,0.8747104
13,-0.46578717,1.0436625,1.0551145,1.4136146,-0.41757733,0.044667426,0.036957387,0.0066493666,0.0031895253,0.9923529,0.8825544,0.88035935
14,-0.106869675,1.0943332,1.0839393,1.4620811,-0.45524597,0.044138283,0.038069066,0.008048187,0.003706466,1.02613,0.87660086,0.8743772
15,0.08201998,0.96004444,0.9530217,1.3179954,-0.33582142,0.045498677,0.03262786,0.0064233597,0.0028663022,0.90296596,0.8784134,0.876356
16,-0.056203444,1.1271583,1.1356748,1.4827461,-0.5145734,0.03657901,0.037732,0.008360961,0.0039152945,1.0685117,0.8768539,0.8725993
17,-0.15114744,1.011645,1.0095965,1.39076,-0.34731176,0.048560224,0.03291193,0.0049927337,0.0020725972,0.9489533,0.8747154,0.87165415
18,-0.28466877,0.92234105,0.89477426,1.3200065,-0.19920658,0.06219022,0.030116513,0.005962123,0.0024905112,0.8507738,0.87734073,0.8755265
19,-0.21747234,0.9597441,0.95166504,1.3507723,-0.25244942,0.05760287,0.032787003,0.004791174,0.0018484313,0.8930426,0.88048625,0.8779215
20,-0.19466957,1.0285202,1.0139397,1.4218568,-0.30345622,0.05819751,0.031780332,0.0054524625,0.0026306913,0.9546185,0.8772786,0.8746403
