lead time,crpsss,crps,mae_median,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,alpha
19,-0.045607198,1.062121,1.1287788,1.2274925,-0.846662,-0.024531879,0.03602956,0.007226831,0.0036743532,0.26407984
20,-0.13025902,1.1451899,1.2168514,1.314176,-0.9249533,-0.028925395,0.0411832,0.007710668,0.0036805228,0.26410243
21,0.08501653,0.96640134,1.0378093,1.1320945,-0.7532754,-0.024528012,0.031230174,0.004554067,0.0021855598,0.26487586
22,0.12292994,0.8208381,0.8793765,0.98827606,-0.5815278,-0.01339442,0.025453148,0.0036102182,0.0018473418,0.26967776
23,-0.023324009,0.8561705,0.9138448,1.0263284,-0.61191124,-0.014112787,0.028569434,0.004373468,0.0021806064,0.2713915
24,-0.09766779,0.9176134,0.9759437,1.0890479,-0.6822622,-0.019779548,0.030267661,0.0039224303,0.0017619728,0.27105844
25,-0.07728292,0.92756015,0.98511374,1.1017299,-0.6814717,-0.015168095,0.029865434,0.0048647164,0.0024640188,0.2754498
26,-0.16222195,0.9212323,0.9765939,1.1018332,-0.6651273,-0.012317432,0.027630495,0.0050448366,0.0030402741,0.27839538
27,-0.3581028,1.0745288,1.1387392,1.2456642,-0.83895844,-0.02325227,0.036389705,0.006463535,0.0032633864,0.26981315
28,-0.28105158,1.1323231,1.1904334,1.3057107,-0.8935419,-0.023897829,0.039015383,0.0078095743,0.003735516,0.26814434
29,-0.11433837,1.0982429,1.1582643,1.274804,-0.8584448,-0.022717286,0.037755806,0.0069851126,0.0036825144,0.27042484
30,0.036842898,0.8801335,0.930886,1.0539671,-0.6374552,-0.011702562,0.02841273,0.0055340743,0.0029960326,0.2762581
31,0.1021738,0.85626835,0.8964019,1.0229285,-0.60867065,-0.011881291,0.026487624,0.0047094864,0.0025316477,0.27361012
32,-0.045157075,1.0259376,1.0794753,1.193994,-0.7905042,-0.018113986,0.032263916,0.0069591803,0.0040337476,0.2759754
33,-0.033462718,1.093293,1.1424736,1.2620184,-0.85739905,-0.018704373,0.034605723,0.008957962,0.0051217303,0.27131432
34,-0.041445933,1.033287,1.0855051,1.200575,-0.80083215,-0.0201341,0.0333429,0.007082436,0.0039265654,0.2733181
35,0.0090093305,0.9794056,1.0394151,1.1515574,-0.7451499,-0.019570202,0.0313115,0.0056520645,0.0031058565,0.27136594
36,0.0052139205,1.0370756,1.0950475,1.2072207,-0.799481,-0.018839376,0.031297397,0.0070095207,0.0042234794,0.27034235
37,-0.023367949,1.0740199,1.1306701,1.2391311,-0.8448534,-0.023175746,0.03484223,0.0072326027,0.0041908324,0.26927143
38,0.053586036,1.0361865,1.0994711,1.2087314,-0.80353975,-0.022360759,0.033766758,0.0063473657,0.0033051705,0.27234647
39,-0.13512835,0.98244005,1.0397073,1.1564977,-0.7407913,-0.015060416,0.02953703,0.0060706,0.0035697522,0.27846572
40,-0.39890164,0.9961758,1.0512692,1.1633033,-0.75980866,-0.016909542,0.029524697,0.0063265134,0.0039097816,0.2757632
41,-0.40210214,0.9807558,1.0359932,1.148514,-0.75361454,-0.018636547,0.03181154,0.00570558,0.003167468,0.27596286
