lead time,crpsss,crps,mae_median,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,alpha
0,0.055508204,0.8693776,0.9364825,0.9659547,-0.70508695,-0.03084523,0.028202651,0.004548766,0.0024650525,0.172863
1,-0.074039176,0.8545573,0.9214317,0.9692805,-0.66802955,-0.024235135,0.027690222,0.0042614774,0.0022269145,0.19076714
2,-0.057441413,0.85681045,0.9284057,0.97927773,-0.6736469,-0.021579526,0.026616083,0.005201949,0.0026004568,0.20309636
3,-0.12350414,1.010571,1.0874194,1.141427,-0.8344279,-0.029718325,0.035914347,0.0074108937,0.003881895,0.21431598
4,-0.056137986,1.0553676,1.1326948,1.1955582,-0.85993165,-0.028494036,0.0346423,0.0073933825,0.00396311,0.22771937
5,0.11014554,1.0405927,1.118046,1.1815547,-0.85038745,-0.028204685,0.03370755,0.0072163185,0.0040309518,0.23243351
6,0.060867295,1.0554932,1.1363422,1.2049428,-0.8591808,-0.02928702,0.037113048,0.006468013,0.0032114282,0.24334972
7,-0.10225439,1.1309724,1.2117825,1.2917868,-0.925724,-0.031756286,0.040130343,0.00727757,0.0036420787,0.25248614
8,-0.076416306,0.9493604,1.0148653,1.1172003,-0.7194187,-0.017279245,0.031054638,0.0056204437,0.0027525516,0.26718396
9,-0.11972738,0.7910493,0.8506047,0.9597628,-0.54990464,-0.010890261,0.026003389,0.0039774883,0.0018474251,0.2751052
10,-0.5509653,0.9735372,1.0424463,1.1438779,-0.74284256,-0.019700937,0.033951633,0.005995571,0.0030889336,0.27123946
11,-0.34215733,1.0082917,1.0769346,1.1835186,-0.77408534,-0.019411545,0.032968827,0.005798777,0.003059522,0.2745916
12,-0.024552973,0.946077,1.0112957,1.1232642,-0.69878614,-0.016531635,0.031617794,0.0051798015,0.002748952,0.27719986
13,0.015450586,0.96185905,1.02039,1.1360635,-0.7138678,-0.016686937,0.03295058,0.0057733567,0.002994555,0.27848205
14,-0.01185231,0.93684703,0.99565256,1.1118693,-0.69083226,-0.016247367,0.03242315,0.0056648846,0.0027555195,0.27598655
15,-0.055590834,0.9216455,0.9799083,1.0873439,-0.6939181,-0.01869134,0.029671034,0.005234697,0.0029198818,0.2733237
16,-0.05337124,0.888469,0.938429,1.0599548,-0.6464398,-0.011851077,0.029161328,0.0055068084,0.0030991635,0.27748057
17,-0.12600785,0.9760481,1.0280263,1.1513836,-0.72883236,-0.014442744,0.03184953,0.0066996193,0.003739699,0.27174237
18,0.027345901,0.9751555,1.0347164,1.1426507,-0.7479972,-0.01870664,0.031460863,0.0066194064,0.0035820266,0.26114294
