lead time,crpsss,crps,mae_median,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995
0,-0.047408804,1.1576622,1.1895304,1.2023013,-1.0670065,-0.059418846,0.042349055,0.008591522,0.0041826973
1,0.1495549,0.9645137,1.0004407,1.0193925,-0.86712074,-0.04989826,0.033133555,0.006614527,0.0032426638
2,0.06640468,0.88242584,0.9196119,0.94020456,-0.7891754,-0.045454387,0.02980961,0.0044058496,0.0023696828
3,-0.15220201,0.92018586,0.9554838,0.9829608,-0.8188744,-0.04613238,0.031247774,0.0052911425,0.0025232015
4,-0.2961715,1.0234575,1.0630152,1.089386,-0.91934496,-0.047323067,0.03431504,0.0075223865,0.0037078438
5,-0.051140808,1.0074351,1.0473745,1.0768546,-0.8998561,-0.045288563,0.033311408,0.006349867,0.0032722056
6,-0.14655414,1.0799441,1.1225027,1.1473683,-0.98196375,-0.05314507,0.037847295,0.0063801804,0.003376649
7,-0.044179007,1.0886889,1.1283301,1.1561607,-0.9918901,-0.0527362,0.037433755,0.006963013,0.0036129851
8,0.020288043,0.9386096,0.97343326,1.0087053,-0.8324567,-0.042980414,0.034395605,0.0060431343,0.0032313582
9,-0.10243811,1.153455,1.190366,1.2243719,-1.0485173,-0.055358406,0.0428962,0.007776975,0.0040416033
10,-0.095575444,1.2367382,1.275132,1.3073486,-1.1346313,-0.05708041,0.0459081,0.008501856,0.004377891
11,-0.03155734,1.0250505,1.0562803,1.0958914,-0.91349065,-0.043409076,0.035427995,0.007449726,0.004166348
12,-0.14762606,0.99605775,1.0224103,1.0676703,-0.8761446,-0.039888002,0.03524948,0.007424351,0.003862219
13,-0.42390049,1.0401406,1.0659965,1.1142992,-0.9181062,-0.04447425,0.03899804,0.007200974,0.003729401
14,-0.07066725,1.0673385,1.0945902,1.139363,-0.950074,-0.04609369,0.03983867,0.008627342,0.004256172
15,0.10867414,0.93631554,0.962683,1.0058818,-0.82205504,-0.043188635,0.033989385,0.0069546197,0.0033979523
16,-0.039463926,1.1157155,1.1460874,1.1883686,-1.0006101,-0.05144828,0.039342634,0.0089205345,0.004458784
17,-0.10659747,0.9906999,1.021917,1.0647812,-0.8724482,-0.046755377,0.034265433,0.0054698763,0.0025771607
18,-0.20639335,0.8812145,0.909457,0.9567151,-0.75431865,-0.039063677,0.031268407,0.006439327,0.0029905746
19,-0.1674619,0.9359349,0.96544904,1.0135025,-0.80754954,-0.04211946,0.034455482,0.0052866708,0.0023527225
20,-0.11136863,0.9948426,1.027156,1.0732037,-0.86721104,-0.0439549,0.033082835,0.0059238602,0.0031405846
21,-0.032169413,1.1360804,1.1690856,1.2147641,-1.0118511,-0.04793647,0.03837339,0.0096734185,0.005017787
22,0.07056353,1.0964341,1.1287024,1.1739265,-0.97521806,-0.04763313,0.039657116,0.0078075603,0.004241738
23,-0.040560286,1.1213814,1.1559141,1.1943378,-1.0092751,-0.05272484,0.042126704,0.0075802803,0.004222439
24,-0.08544996,1.0583113,1.0890609,1.1295235,-0.9455782,-0.04919579,0.038766608,0.0069429167,0.003906665
25,0.011568721,0.90563285,0.93370044,0.97850543,-0.7896826,-0.03951812,0.032978382,0.005998392,0.0032064042
26,-0.25942105,1.0568643,1.08439,1.1304139,-0.9401705,-0.04415205,0.038384557,0.008351528,0.0045439815
27,-0.71405464,0.99740374,1.0249069,1.0710659,-0.8788676,-0.042333234,0.035722427,0.0068835383,0.0038589565
28,-0.19095398,0.9106394,0.93464476,0.98512304,-0.7888891,-0.037705168,0.033581432,0.006192618,0.0032671546
29,0.018487617,0.98994446,1.0146743,1.062707,-0.8709002,-0.04286838,0.03828231,0.008410125,0.004111981
30,-0.1174394,1.1403564,1.1674485,1.2145324,-1.0192996,-0.052690033,0.042917963,0.009023409,0.0044509224
31,-0.097364925,1.1773741,1.2096361,1.2508938,-1.0640376,-0.055805415,0.04212647,0.008630907,0.004087145
32,-0.030733641,0.9190198,0.94560593,0.989226,-0.8088557,-0.045431163,0.0317146,0.0049689854,0.0023603535
33,-0.12516204,0.96761334,0.99408525,1.0387782,-0.8553574,-0.044953257,0.034766477,0.00634178,0.0030851343
34,-0.27186844,1.0554649,1.0870714,1.1253736,-0.94793224,-0.05135964,0.03745698,0.007669543,0.0033853098
35,-0.028746724,1.0490507,1.0814235,1.120216,-0.93967235,-0.049344607,0.03582507,0.006045255,0.0032341245
36,-0.043725863,1.2434887,1.275507,1.3120811,-1.1403313,-0.05313376,0.04125814,0.010376918,0.006056239
37,-0.024800371,1.2811985,1.3119795,1.3500727,-1.1772772,-0.057596542,0.043406427,0.010395772,0.006398005
38,-0.048192028,1.2043478,1.2354727,1.2730068,-1.1000364,-0.05359713,0.042684816,0.009821988,0.0056107296
39,-0.08839519,1.1367067,1.1657554,1.2099885,-1.0239995,-0.048410263,0.04232899,0.008324253,0.0044017388
40,-0.24113667,1.1709485,1.2021211,1.2434223,-1.060171,-0.05338233,0.04441189,0.008337963,0.0044103293
41,-0.37154293,1.1397116,1.1696955,1.2114489,-1.0259751,-0.05029498,0.041862078,0.008006375,0.0043519707
