lead time,crpsss,crps,mae_median,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,alpha_plus,alpha
0,-0.16927524,1.301564,1.400205,1.4428244,-1.0742843,-0.04232894,0.054284967,0.008909434,0.0039645922,0.80045396,0.7664186
1,-0.08262927,1.3005613,1.4123629,1.4598442,-1.0733297,-0.038730633,0.052605238,0.009445188,0.0042771436,0.8066117,0.780253
2,-0.12844957,1.4907858,1.6058276,1.649782,-1.2762134,-0.04682473,0.058636066,0.012895874,0.0065243705,0.8189465,0.7877449
3,-0.014798694,1.3472368,1.4464482,1.5025285,-1.1315527,-0.039803308,0.04980806,0.011394329,0.006134515,0.8169595,0.7910426
4,-0.09334116,1.308194,1.4072758,1.4667515,-1.1043456,-0.04002354,0.050147202,0.010923671,0.005549547,0.8145999,0.7912539
5,-0.02036332,1.3417852,1.4427805,1.4996839,-1.1544857,-0.04451287,0.051651783,0.009391794,0.004800936,0.8119468,0.7880717
6,0.0732549,1.5548146,1.656914,1.7195637,-1.3628792,-0.04553139,0.054480765,0.014494695,0.008344441,0.80923575,0.78663325
7,-0.021852424,1.8124009,1.9299767,1.9865102,-1.6150035,-0.055110883,0.06401506,0.017426489,0.009979688,0.8138521,0.7857725
8,0.10286776,1.4679222,1.5748934,1.6430875,-1.2584636,-0.043575257,0.05090609,0.010886293,0.0059807384,0.8179713,0.7956829
9,-0.11705941,1.3603861,1.4646126,1.5467436,-1.1238141,-0.03714328,0.048801303,0.007991522,0.0038385263,0.8137038,0.796742
10,-0.220272,1.4974914,1.6048896,1.6911638,-1.2555165,-0.037831534,0.05620134,0.0110364575,0.0050819837,0.81041753,0.7961336
11,-0.23202802,1.586584,1.698337,1.77639,-1.3553057,-0.04493834,0.056359723,0.013204286,0.007448275,0.81756145,0.79324955
12,0.06950638,1.5916669,1.7015038,1.7808113,-1.3662398,-0.047450088,0.060691893,0.011497088,0.0054034446,0.8168954,0.794898
13,0.048348557,1.3364134,1.4236166,1.5195421,-1.0992498,-0.037225433,0.052832197,0.0091670025,0.004260929,0.8159368,0.8024119
14,-0.055969648,1.283372,1.3634013,1.4658071,-1.0494329,-0.036808047,0.051371317,0.008442067,0.0040239813,0.82219505,0.80512494
15,-0.3228539,1.3980988,1.4767588,1.5755205,-1.1692178,-0.04005008,0.054285333,0.010197836,0.005024407,0.82730585,0.80851823
16,-0.08842272,1.2523878,1.3248959,1.4217964,-1.031345,-0.03762389,0.04961166,0.009620046,0.0045815734,0.8286673,0.8090131
17,-0.025464006,1.3694117,1.4394306,1.5427313,-1.1454916,-0.034932643,0.05093172,0.011561285,0.00614123,0.8185728,0.80896705
18,0.01839064,1.3992507,1.4875253,1.5655551,-1.1952025,-0.04344785,0.05009163,0.010603777,0.005615472,0.8261326,0.8066899
19,0.060550638,1.4762748,1.5615965,1.6464192,-1.2647603,-0.04512913,0.053375788,0.011723245,0.0065227444,0.81966645,0.7986697
20,0.07715484,1.4795089,1.5609528,1.6541715,-1.262238,-0.04243452,0.052548055,0.011302867,0.006079311,0.8142764,0.7972035
21,-0.19125947,1.7203584,1.8073854,1.8925352,-1.5118277,-0.049392283,0.059532948,0.01648322,0.009585357,0.8164902,0.79510695
22,-0.09843251,1.6327081,1.7230358,1.8067833,-1.4201045,-0.049630992,0.05729845,0.013881957,0.007990528,0.82160425,0.7970427
23,-0.19307719,1.6307762,1.7211498,1.804126,-1.4256896,-0.052386824,0.05813714,0.011989855,0.0064066593,0.820461,0.7951677
24,-0.49373606,1.5454453,1.6250366,1.7249002,-1.3185462,-0.04243209,0.052538175,0.012750422,0.006900831,0.8104365,0.7945193
25,-0.4675411,1.5324541,1.611219,1.7098758,-1.3077527,-0.041534122,0.050589904,0.013214581,0.008034639,0.8118687,0.79237264
26,-0.07435729,1.6024525,1.6896278,1.7824616,-1.3853996,-0.048003204,0.05796066,0.011824697,0.0057530734,0.8139954,0.7925473
27,-0.03890076,1.7450705,1.8390234,1.922409,-1.5367328,-0.052220058,0.06279365,0.0144221615,0.007088503,0.82062536,0.79459196
