lead time,crpsss,crps,mae_median,mae_mean,bias,relative_bias_5,Brier95,Brier99,Brier995,alpha_plus,alpha
28,-0.16540852,1.6325984,1.7296696,1.8115746,-1.4221227,-0.050858963,0.05910832,0.013573349,0.00796018,0.8242175,0.7983621
29,-0.17878056,1.5536993,1.64055,1.7365532,-1.3299066,-0.046483427,0.061075054,0.011328641,0.005216678,0.8216775,0.8023044
30,-0.13096975,1.2452126,1.3173364,1.4295453,-0.9975258,-0.03220176,0.050861903,0.008661404,0.0041118367,0.8161348,0.8064571
31,-0.17720366,1.3533764,1.434912,1.5375028,-1.115279,-0.035853848,0.053701077,0.009806829,0.0047176126,0.8168459,0.80652815
32,-0.13876233,1.5288427,1.6137649,1.7073278,-1.3039404,-0.04011574,0.0546735,0.012920378,0.0069641424,0.8225918,0.8088682
33,-0.027267054,1.512242,1.5943222,1.6931839,-1.2803899,-0.040958855,0.054375313,0.013535171,0.007889122,0.8221877,0.804952
34,0.012875952,1.6338341,1.7170137,1.8169461,-1.3991419,-0.04371164,0.059756808,0.015781518,0.009016774,0.8092113,0.7936328
35,0.07447451,1.5292556,1.6079601,1.707177,-1.298836,-0.045221806,0.054852933,0.0124921305,0.0071557877,0.8154208,0.7932204
36,0.05760254,1.668662,1.7468804,1.8422911,-1.444733,-0.049519572,0.060182676,0.014594007,0.008584132,0.8148027,0.7916737
37,-0.0623066,1.7740173,1.8611739,1.9504,-1.5570974,-0.054133553,0.06266923,0.014787333,0.008015838,0.8136177,0.7890283
38,-0.06943765,1.6484216,1.7407653,1.8301418,-1.4215761,-0.04762853,0.055893574,0.0128855035,0.0074507846,0.81821704,0.7962113
39,-0.335236,1.3872484,1.4671434,1.5710438,-1.1449275,-0.03789118,0.046717532,0.00948342,0.0049452996,0.8125917,0.7956977
40,-0.42368686,1.3630496,1.440742,1.5394748,-1.1336081,-0.03888191,0.04903122,0.008100676,0.003900089,0.81332326,0.79638237
41,-0.54864496,1.732333,1.8236614,1.9057488,-1.520631,-0.0517515,0.058948588,0.014467207,0.007870278,0.81104195,0.78853554
